ETF,RMSE,RMSE_baseline,RMSE_zeros,MAE,MAE_baseline,MAE_zeros
USO,0.01970989242327176,0.027731348030967513,0.01966712816818879,0.015026092247259435,0.021818959602118524,0.015067301596090373
VEA,0.009715805084219428,0.013905770306961693,0.009706285244125418,0.006870643888632235,0.010149511392653444,0.006866353063232928
VIG,0.00896809572076496,0.012889377522327739,0.00890811245035183,0.0061053656997446405,0.008801947914599807,0.00606305404312421
VLUE,0.01118980595385983,0.0157821852463867,0.011130065680338806,0.007863517529331166,0.011215607980581053,0.007832481896832662
VNQ,0.010388704746370141,0.015121219054547514,0.010304638222857512,0.007546970851863306,0.01114028372583234,0.0074948101120775315
VOO,0.01077633746675801,0.015595776995828514,0.010704133395425698,0.007028231108787488,0.010350907533833727,0.006968144953362607
VTI,0.011175642142957801,0.016390930474811195,0.011148359543455,0.007196906902703724,0.01072916238682466,0.007195212525925616
VTV,0.008840085732596847,0.01258372311484905,0.008816496130753797,0.0060813137816968345,0.008725186613650836,0.0060723047859548305
VUG,0.01378549076979552,0.02021232510594198,0.013769131364227355,0.009222275992604438,0.013805767760648534,0.009217964649928086
VWO,0.01056084124052162,0.014971493254563336,0.010541294052411648,0.007367230779350635,0.010626675817696706,0.007365257725575549
XLB,0.011594545513185353,0.016675632667458928,0.011561786697822773,0.008333555032238158,0.011731102892794292,0.008328093312902645
XLE,0.014769604120561667,0.020474568660435774,0.014750414674854214,0.010486686480795367,0.014635227119015186,0.010511097495984674
XLF,0.011600188791479489,0.016238526787866702,0.011582564886089802,0.007831050857493907,0.011396360096511859,0.007811297252490517
XLI,0.01125907751772858,0.015859556281903713,0.011206764593107208,0.007840575227030326,0.011214045810915153,0.007785451958799564
XLK,0.01666489145544092,0.02452340337514091,0.016619505235805222,0.01148037904900162,0.01697175643705557,0.011440859623242485
XLP,0.00809645847991108,0.011691377308008755,0.008080883196739453,0.006083325623841192,0.008957043842430441,0.006088090786476289
XLRE,0.010413376986916524,0.015103156429289565,0.010330795325217456,0.007584429658126761,0.01111694367725238,0.007528186742647121
XLU,0.009976952469730562,0.014102199875553076,0.009935395430105777,0.007504681806451891,0.010877691452706935,0.0074891613940729984
XLV,0.009893256734785267,0.014164807592007183,0.009874426802688744,0.007208958247724732,0.010387362426314934,0.007208467399328797
XLY,0.014687919829783368,0.02150463850755309,0.01458957588285961,0.010567877872840675,0.015671658797671392,0.010461146139232639
