Date,AGG,BIL,BND,DBC,DIA,DVY,EEM,EFA,EWG,EWJ,EWQ,EWT,EWU,EWY,EWZ,FXI,GLD,HYG,IAU,IEF,IEFA,IEMG,IJR,INDA,ITOT,IVV,IWD,IWF,IWM,JNK,LQD,MCHI,MDY,MTUM,QQQ,QUAL,SCHD,SHY,SLV,SPY,TIP,TLT,USMV,USO,VEA,VIG,VLUE,VNQ,VOO,VTI,VTV,VUG,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2021-02-03,5492400,1207900,4271700,3059400,2087800,414100,32363100,11345800,3457700,9547600,194500,3483800,2843900,2582300,25471900,10872200,4658100,31911000,9761150,3844200,5907800,8718700,3779200,3034600,1474600,3247000,2014300,971900,23923200,8274900,13189600,5760000,594900,1052700,24824500,1077100,4812600,2219000,54593300,52427100,1888700,9633100,4519700,6804100,6294300,1589500,535300,5148700,3392800,2905600,1849100,685300,8442500,12846200,74385600,46195200,9662900,11574800,9542000,3472200,16266800,11280300,4062800
2021-02-04,5287400,944000,4652200,3079800,2638800,369300,40161800,10500300,1668500,4412300,221500,3049400,1840200,3090000,19317200,15567300,13736600,21181100,14105000,2146000,9305000,16071000,4241000,2494900,2418500,1959700,1620800,901300,25400800,5753800,10689500,3044000,468700,613600,22350900,1119700,4664700,1848200,51529200,47142600,1943800,8262600,4308700,5033700,5971400,1007800,619900,4118200,1988300,2746400,1560300,588900,7187100,12994200,48327800,63061800,7113900,8134200,7292400,3040200,22702200,8451500,5142400
2021-02-05,3446600,726400,4401300,2757400,1955600,353000,24242300,10955600,1728600,4109200,172600,2438700,1771900,2563100,26797500,11038200,6538500,21653100,8003650,5498000,7665700,6522100,4816700,2094200,1620200,2559900,2587900,582500,23338800,5095900,12016300,2437100,513600,709400,22732000,883900,4543800,1495900,33704000,48669800,1734000,10258900,3394900,4379100,7702400,1297800,579800,2583900,2091800,3127200,1663900,675800,6459000,12575600,48196400,38461900,7481900,9413800,8889300,2019400,11920000,5557000,4464200
2021-02-08,4704200,1505100,5571500,2896800,1690000,342200,21606000,16405600,2249900,6378100,307300,2351200,2321500,2399900,22781400,7221000,6887500,16590100,7027300,2861300,7387400,7104200,4350800,2349200,1696900,3315300,1190500,721500,20831500,4238900,13460300,2178400,792400,2841300,20462800,2200200,4776000,2193100,40683200,38365200,2188800,11574800,5809000,4216200,10370400,1029300,1768200,3212700,3371100,3676700,1975200,740700,6861100,12635600,62368200,48756300,8848000,11713200,9412200,2590000,21531400,6956700,4720400
2021-02-09,4533400,1270000,4474000,2420300,1798700,366700,27200000,16337600,1291800,4035000,4090100,2361200,1604000,4317200,25397700,11856300,5131800,14404300,7969200,4458500,6422200,5082200,2898300,4095600,1212800,4725500,1412800,910400,19510900,4888300,11755100,3790900,491500,1216700,17597500,1062100,4044300,1930700,31182500,35551100,2434400,5218300,3232300,4904300,5571600,872600,695600,2518800,1891200,3384800,1719600,707900,7816900,14514000,64798800,33572000,8298500,10552200,12345400,1682200,12386800,4730300,3615400
2021-02-10,4378300,1424400,3735500,2043300,3048000,322100,30531200,15402800,2108200,5202800,773800,2829200,1831900,2409200,20744100,12619900,6112800,20469400,8385650,6726800,5957400,7431500,4292800,5078500,1318100,2566000,2179000,768800,27955400,7569700,9414500,3915000,607400,825700,28068700,667000,4554300,3016100,36120100,59154400,1599000,8079800,3790300,5053600,8471300,984700,607400,3421400,2400000,3682400,1684800,748500,9137500,10917400,58451000,38899600,10982400,9464400,6957200,3329000,19621200,5406400,4883200
2021-02-11,3470800,696900,4578200,1515800,1937100,493000,48875000,12314100,1697400,4258100,1362900,2897100,2031300,2634000,25585600,21151900,5994500,17047200,8365700,5949900,4836300,9896400,5330400,2567500,1429200,3114200,1360500,886800,25847600,5096800,9241100,5547300,714900,768800,22046100,911000,4651200,2348600,29925500,42913300,1802900,11962700,3834800,3738000,7432400,1089900,673200,3717000,2237200,2630000,1970600,658300,7932200,13346000,49632600,31909500,8868500,7565800,7478500,2301000,17422600,4684000,3911600
2021-02-12,3284900,900900,4825400,2500100,2479500,419200,28400400,11946800,2467900,3884800,216900,2524200,2401400,2383000,17926300,10001800,6018900,17800100,8423050,8802400,5383300,5292600,3924900,1622300,923500,1945900,1267000,604500,17440200,4604000,13717100,2014700,374100,525100,20346800,891700,3657000,3364600,24872400,50593300,1995300,14088400,2783700,5785100,6961000,800600,767500,2297400,2144500,2416700,1920400,719300,7561200,6575800,47400800,38271800,7983500,6755600,7131800,1826300,20216000,6345300,3994400
2021-02-16,5682700,1026200,6702200,4066300,1836300,337600,34954000,20225600,2043600,5283800,223600,1883200,3477000,2300600,21403400,9689100,14761100,22264400,12619850,8909000,5367100,6599700,2983400,2201300,1110900,2379300,1755400,1016300,22999500,6681900,21429200,2647700,486500,1805300,27080800,824800,4648500,3364200,45946600,50972400,2828100,17789100,3324200,5467400,7636800,1077200,523500,2774500,4408500,4955700,2348700,874700,7423300,12385800,76593400,71330600,8227600,9722200,9246600,3341300,31723200,9531900,4516200
2021-02-17,6304100,781400,5217000,2987500,2007400,373800,37789100,19198800,2137700,7591800,424900,2972900,1886700,2134500,21850200,13661600,11400700,20276700,15504850,4789700,5812900,10501000,3346900,2502800,1156900,2418900,1753700,987600,25042300,8060200,16195400,2851400,547300,712800,31360300,644300,3990600,2307600,32220600,52290600,2404700,11199100,2142400,7391500,7865500,1075000,556300,2939000,3211800,4484000,1957100,767600,6377000,11821200,68964400,60460900,7266000,15274800,8871000,3277200,20358200,5022200,6441200
