ETF,RMSE,RMSE_baseline,RMSE_zeros,MAE,MAE_baseline,MAE_zeros
VNQ,0.004273367113083638,0.006225031241623698,0.004336107633611266,0.00314984701877094,0.005238047103623407,0.0032444501590473246
VOO,0.0034205733331202303,0.00553177154106643,0.003517052806090573,0.002429839482683857,0.004465154590243737,0.002494663339143829
VTI,0.0034967172356528487,0.005572542954991269,0.0035839863345325956,0.002420281705558457,0.004408688664890527,0.0024104640383625343
VTV,0.003561249885991376,0.004450510602870431,0.003551483355883235,0.002634130492994412,0.003936853964234309,0.0026048545339244383
VUG,0.0039767646259725635,0.006903694247741658,0.004103918021881225,0.003082722257225708,0.0056176740391606205,0.0030783840510362442
VWO,0.003573839728410157,0.005117068467283237,0.0035839374601492648,0.002987241189078003,0.0039368448081986114,0.002965278042529665
XLB,0.0050580202045622325,0.007394047045695169,0.005081167571368619,0.004124637310132598,0.006772338408363941,0.00411965158133153
XLE,0.0073783366090426775,0.009275388645596887,0.007531800604853618,0.006064950104603968,0.006184170015387325,0.006103215421170589
XLF,0.0049401448110263785,0.006437552220129113,0.004956032137668741,0.004040319859667881,0.00580437124883682,0.004029455321769851
XLI,0.004956073887482972,0.005806036858654919,0.004928159473862771,0.00387504719649426,0.004638124724464796,0.003841024717920719
XLK,0.005540753031015201,0.009095532449587494,0.0056840999684881575,0.004193883276533459,0.007242094008646463,0.004255909420087677
XLP,0.004510563368802292,0.00460975139787888,0.004441488927418896,0.0033254996871154366,0.0036903103224566218,0.003292685452205103
XLRE,0.004652164101956085,0.006884723771552759,0.004718203012714411,0.0033471657540939097,0.005640636800444956,0.0034349975123207973
XLU,0.005866830799793473,0.008538630089387845,0.005759627008354614,0.0044840205826556295,0.006789154935008859,0.0044331641985054454
XLV,0.003980315336807119,0.005538741673502643,0.003972856070133887,0.003378456925918372,0.004706851998583681,0.003414977215517256
XLY,0.0055550834298732045,0.009105141473819946,0.005695838964896262,0.004597581482524353,0.006839358323435842,0.0046438760185829936
