ETF,RMSE_Ridge,RMSE_BASE,RMSE_ZEROS,MAE_Ridge,MAE_BASE,MAE_ZEROS,n_semanas
ITOT,0.004702555923639853,0.007345761103978907,0.00479495352516759,0.0034846403666068324,0.0053692629019025575,0.0035478572749471763,80
IVV,0.004593926645141013,0.007320469180999159,0.004701063368063258,0.003394159176862549,0.005285826094481352,0.003478580694916978,80
IWD,0.004056306124299534,0.0061421893965018315,0.004112173452825109,0.0029630909903096653,0.0044601948854773605,0.0030251084120786562,80
IWF,0.00566008582603943,0.008957961673668465,0.0058038049035617845,0.004242193914378774,0.006565666767812957,0.004353714161816777,80
IWM,0.006254936079113901,0.009173580468936801,0.00625936998760087,0.004782968198847689,0.007069385894773325,0.004794171872619826,80
JNK,0.0013868246273575444,0.001846978579928086,0.0014007235582881093,0.0009967637172935652,0.0014466342947666785,0.001024745414575553,80
LQD,0.0020211613689540596,0.002992969998346416,0.0020201687224942915,0.0015810786255106655,0.0023240026716436525,0.001586304466726415,80
MCHI,0.008113389447129148,0.010132057929942309,0.007985297784066965,0.005669342978252663,0.00737041390742858,0.005577466459726198,80
MDY,0.005196355488595439,0.007717117420123557,0.005218652025877957,0.0038661721874738014,0.005920472275440418,0.0038767371513318064,80
MTUM,0.006131973905968206,0.00927930391976665,0.0062017981533689,0.004501776884869099,0.0069452648898081695,0.004563150922208524,80
QQQ,0.005792116162099125,0.009204575335534775,0.005951048778810511,0.004334867233905687,0.006791697775959749,0.004469548452409419,80
QUAL,0.004370309009142234,0.0069674768930945204,0.004462880895532294,0.0032938990832688413,0.005055081407770193,0.003386205616505321,80
SCHD,0.003981788929602764,0.0058400822983575105,0.003991819604958699,0.00299811690450009,0.004350546301736527,0.0030285874859611824,80
SLV,0.012548960301920447,0.016755813956054667,0.012590321573606204,0.008581750067585662,0.010878068950613148,0.008675495392126389,80
SPY,0.004581651538216362,0.0072844239135421785,0.004687092832778726,0.0033812209851612346,0.005267141755421289,0.00346639897465779,80
TIP,0.0012617398088070988,0.001859829340192466,0.0012620921988736526,0.0009593714044912593,0.0013528436327083747,0.0009530937439346465,80
TLT,0.0038906634118196855,0.005848006951014061,0.0038794129062498846,0.002928379936675669,0.004423188742438427,0.002883960521029095,80
USMV,0.003066553900672702,0.004963880178204541,0.003112937800524676,0.002305012742716728,0.0036167287249823767,0.0023816726601459883,80
USO,0.010538808165333575,0.01473336955572258,0.010513128941613544,0.007240673312853357,0.010861738676208746,0.007286474802929241,80
VEA,0.004418473261842871,0.006466493655101555,0.004465686886422001,0.003331380792211523,0.004706903451946994,0.00339883079033126,80
VIG,0.004006704918981169,0.006345786413673131,0.0040889768891053556,0.003034126312357844,0.004821891881034203,0.003107036565583183,80
VLUE,0.005239538221499005,0.007326317014944483,0.005304655317440689,0.003917484019300276,0.005333479905905736,0.004004771622247406,80
VNQ,0.004591618520483508,0.007023923313909734,0.004564024157739443,0.003403672044983331,0.005607133990433972,0.0033811315288154358,80
VOO,0.004553262035488239,0.007213834798543177,0.004657906093780969,0.003379189760702338,0.005255458649978858,0.0034629190137653045,80
VTI,0.004680298100895103,0.007329814497182295,0.004775474888167523,0.003468759944862726,0.00535511291375633,0.003531452293063485,80
VTV,0.003908789266363256,0.005971058879596478,0.003963852364076569,0.0029336037675288407,0.00445588119595221,0.0030106821840161285,80
VUG,0.0056406791058575085,0.008931205425876733,0.005788489739561711,0.0041946265138506095,0.006503062081148958,0.004306480773088102,80
VWO,0.00446847682301551,0.006382070929340487,0.004469228755315257,0.0035685230801512065,0.005109737852572444,0.0035732985927272773,80
XLB,0.005193661255621647,0.00783188920033911,0.005209518494924382,0.004036360405537156,0.006216561231443254,0.004061794244624565,80
XLE,0.007318548704033502,0.010164553956264687,0.007258902679045095,0.0053370082256095994,0.0077426040660409645,0.0054321189097138066,80
XLF,0.005315338627528498,0.008088470630660753,0.005366179223059282,0.00403259373333541,0.006239486408204309,0.004122499761631151,80
XLI,0.005167299007626072,0.007733521580111439,0.005233546286271815,0.003944042740440275,0.005654819672984567,0.004005264340134403,80
XLK,0.00706789131641244,0.011073816577607438,0.00721092051335248,0.005213753479190051,0.008172317920942822,0.005317709571042608,80
XLP,0.003350825728289936,0.0045250296344232915,0.0033522505124350573,0.002628109247745579,0.003676449509872626,0.002645806880817215,80
XLRE,0.004665790638408325,0.007115373250055499,0.00463445020619936,0.003464278629184435,0.0057462253128610745,0.0034559919401196625,80
XLU,0.004269157489946195,0.006115050555715019,0.004244400804634406,0.003419892964830163,0.004738776046293281,0.0034575330007456857,80
XLV,0.00441274860625684,0.006729090517243121,0.0044164396952435575,0.0034125620806973135,0.0052979899923182566,0.00346348915250821,80
XLY,0.005766526119341331,0.008653295132441039,0.005854103964135881,0.004483679671376413,0.006630509455249294,0.004592326845645045,80
