Archivo,Metodo,Target,RMSE,RMSE_baseline,RMSE_zeros,MAE,MAE_baseline,MAE_zeros,Alpha,Valor_Real,Prediccion,Valor_Baseline,Valor_Zeros,Fecha_Semana
adj_close.csv,ARIMA,BND,0.00237681,0.00473138,0.00027089,0.00237681,0.00473138,0.00027089,"ARIMA(2, 0, 0)",0.00027089,-0.00210592,-0.00446049,0.0,2024-W42
adj_close.csv,ARIMA,BND,0.00850209,0.00952268,0.00925179,0.00850209,0.00952268,0.00925179,"ARIMA(2, 0, 0)",-0.00925179,-0.0007497,0.00027089,0.0,2024-W43
adj_close.csv,ARIMA,BND,0.00538015,0.00386735,0.00538444,0.00538015,0.00386735,0.00538444,"ARIMA(2, 0, 0)",-0.00538444,-4.29e-06,-0.00925179,0.0,2024-W44
adj_close.csv,ARIMA,BND,0.00918587,0.01293777,0.00755332,0.00918587,0.01293777,0.00755332,"ARIMA(2, 0, 0)",0.00755332,-0.00163255,-0.00538444,0.0,2024-W45
adj_close.csv,ARIMA,BND,0.00753535,0.01593429,0.00838097,0.00753535,0.01593429,0.00838097,"ARIMA(2, 0, 0)",-0.00838097,-0.00084562,0.00755332,0.0,2024-W46
adj_close.csv,ARIMA,BND,0.00025968,0.00989748,0.00151651,0.00025968,0.00989748,0.00151651,"ARIMA(2, 0, 0)",0.00151651,0.00125684,-0.00838097,0.0,2024-W47
adj_close.csv,ARIMA,BND,0.01522423,0.01230127,0.01381778,0.01522423,0.01230127,0.01381778,"ARIMA(2, 0, 0)",0.01381778,-0.00140645,0.00151651,0.0,2024-W48
adj_close.csv,ARIMA,BND,0.00424753,0.00928969,0.00452809,0.00424753,0.00928969,0.00452809,"ARIMA(2, 0, 0)",0.00452809,0.00028056,0.01381778,0.0,2024-W49
adj_close.csv,ARIMA,BND,0.01644167,0.0187382,0.01421011,0.01644167,0.0187382,0.01421011,"ARIMA(2, 0, 0)",-0.01421011,0.00223155,0.00452809,0.0,2024-W50
adj_close.csv,ARIMA,BND,0.00697008,0.00786022,0.0063499,0.00697008,0.00786022,0.0063499,"ARIMA(2, 0, 0)",-0.0063499,0.00062019,-0.01421011,0.0,2024-W51
adj_close.csv,ARIMA,BND,0.00109474,0.00320149,0.0031484,0.00109474,0.00320149,0.0031484,"ARIMA(2, 0, 0)",-0.0031484,-0.00205366,-0.0063499,0.0,2024-W52
adj_close.csv,ARIMA,BND,0.00232152,0.00454094,0.00139254,0.00232152,0.00454094,0.00139254,"ARIMA(2, 0, 0)",0.00139254,-0.00092898,-0.0031484,0.0,2025-W01
adj_close.csv,ARIMA,BND,0.00809588,0.00991863,0.00852609,0.00809588,0.00991863,0.00852609,"ARIMA(2, 0, 0)",-0.00852609,-0.00043021,0.00139254,0.0,2025-W02
adj_close.csv,ARIMA,BND,0.00978764,0.018443,0.00991691,0.00978764,0.018443,0.00991691,"ARIMA(2, 0, 0)",0.00991691,0.00012927,-0.00852609,0.0,2025-W03
adj_close.csv,ARIMA,BND,0.00245119,0.00866685,0.00125007,0.00245119,0.00866685,0.00125007,"ARIMA(2, 0, 0)",0.00125007,-0.00120112,0.00991691,0.0,2025-W04
adj_close.csv,ARIMA,BND,0.00274336,0.00290576,0.00415583,0.00274336,0.00290576,0.00415583,"ARIMA(2, 0, 0)",0.00415583,0.00141247,0.00125007,0.0,2025-W05
adj_close.csv,ARIMA,BND,0.00305684,0.00090202,0.00325381,0.00305684,0.00090202,0.00325381,"ARIMA(2, 0, 0)",0.00325381,0.00019697,0.00415583,0.0,2025-W06
adj_close.csv,ARIMA,BND,0.00200794,0.00063068,0.00262313,0.00200794,0.00063068,0.00262313,"ARIMA(2, 0, 0)",0.00262313,0.00061519,0.00325381,0.0,2025-W07
adj_close.csv,ARIMA,BND,0.0028182,0.00068019,0.00330332,0.0028182,0.00068019,0.00330332,"ARIMA(2, 0, 0)",0.00330332,0.00048513,0.00262313,0.0,2025-W08
adj_close.csv,ARIMA,BND,0.01175542,0.00885306,0.01215639,0.01175542,0.00885306,0.01215639,"ARIMA(2, 0, 0)",0.01215639,0.00040097,0.00330332,0.0,2025-W09
adj_close.csv,ARIMA,BND,0.00661584,0.01817945,0.00602306,0.00661584,0.01817945,0.00602306,"ARIMA(2, 0, 0)",-0.00602306,0.00059277,0.01215639,0.0,2025-W10
adj_close.csv,ARIMA,BND,0.00244082,0.00533794,0.00068512,0.00244082,0.00533794,0.00068512,"ARIMA(2, 0, 0)",-0.00068512,0.0017557,-0.00602306,0.0,2025-W11
adj_close.csv,ARIMA,BND,0.005929,0.00574437,0.00505925,0.005929,0.00574437,0.00505925,"ARIMA(2, 0, 0)",0.00505925,-0.00086975,-0.00068512,0.0,2025-W12
adj_close.csv,ARIMA,BND,7.726e-05,0.00505925,0.0,7.726e-05,0.00505925,0.0,"ARIMA(2, 0, 0)",0.0,-7.726e-05,0.00505925,0.0,2025-W13
adj_close.csv,ARIMA,BND,0.00935332,0.01006906,0.01006906,0.00935332,0.01006906,0.01006906,"ARIMA(2, 0, 0)",0.01006906,0.00071574,0.0,0.0,2025-W14
adj_close.csv,ARIMA,BND,0.02472517,0.03475495,0.02468588,0.02472517,0.03475495,0.02468588,"ARIMA(2, 0, 0)",-0.02468588,3.928e-05,0.01006906,0.0,2025-W15
adj_close.csv,ARIMA,BND,0.00692681,0.03339545,0.00870956,0.00692681,0.03339545,0.00870956,"ARIMA(2, 0, 0)",0.00870956,0.00178275,-0.02468588,0.0,2025-W16
adj_close.csv,ARIMA,BND,0.01116881,0.00144072,0.00726884,0.01116881,0.00144072,0.00726884,"ARIMA(2, 0, 0)",0.00726884,-0.00389997,0.00870956,0.0,2025-W17
adj_close.csv,ARIMA,BND,0.00437598,0.01063362,0.00336478,0.00437598,0.01063362,0.00336478,"ARIMA(2, 0, 0)",-0.00336478,0.0010112,0.00726884,0.0,2025-W18
adj_close.csv,ARIMA,BND,0.00279669,0.00157492,0.00178986,0.00279669,0.00157492,0.00178986,"ARIMA(2, 0, 0)",-0.00178986,0.00100683,-0.00336478,0.0,2025-W19
adj_close.csv,ARIMA,BND,0.00084712,0.00054895,0.00124091,0.00084712,0.00054895,0.00124091,"ARIMA(2, 0, 0)",-0.00124091,-0.00039378,-0.00178986,0.0,2025-W20
adj_close.csv,ARIMA,BND,0.00380485,0.0027681,0.004009,0.00380485,0.0027681,0.004009,"ARIMA(2, 0, 0)",-0.004009,-0.00020415,-0.00124091,0.0,2025-W21
adj_close.csv,ARIMA,BND,0.00808301,0.01201132,0.00800232,0.00808301,0.01201132,0.00800232,"ARIMA(2, 0, 0)",0.00800232,-8.069e-05,-0.004009,0.0,2025-W22
adj_close.csv,ARIMA,BND,0.00373655,0.01242425,0.00442192,0.00373655,0.01242425,0.00442192,"ARIMA(2, 0, 0)",-0.00442192,-0.00068537,0.00800232,0.0,2025-W23
adj_close.csv,ARIMA,BND,0.00562989,0.01118488,0.00676296,0.00562989,0.01118488,0.00676296,"ARIMA(2, 0, 0)",0.00676296,0.00113306,-0.00442192,0.0,2025-W24
